name,queryDataDirectory,productListDirectory,AveragePriceDirectory,VolumeDirectory,AllListingsLink,AuctionLink,BuyItNowLink
Cat's Cradle,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cat's Cradle&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cat's Cradle&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cat's Cradle&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
"Catch-22 (Catch-22, #1)",,,,,"https://www.ebay.com/sch/i.html?_from=R40&_nkw=Catch-22 (Catch-22, #1)&LH_Sold=1&LH_Complete=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Catch-22 (Catch-22, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Catch-22 (Catch-22, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",,,,,"https://www.ebay.com/sch/i.html?_from=R40&_nkw=Charlie and the Chocolate Factory (Charlie Bucket, #1)&LH_Sold=1&LH_Complete=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Charlie and the Chocolate Factory (Charlie Bucket, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Charlie and the Chocolate Factory (Charlie Bucket, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200"
Cream BBC Sessions,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream BBC Sessions&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream BBC Sessions&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream BBC Sessions&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Cream Disraeli Gears,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Disraeli Gears&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Disraeli Gears&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Disraeli Gears&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Cream Fresh Cream,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Fresh Cream&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Fresh Cream&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Fresh Cream&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Cream Goodbye,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Goodbye&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Goodbye&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Goodbye&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Cream Live Cream,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Live Cream&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Live Cream&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Live Cream&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Cream Live Cream Volume II,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Live Cream Volume II&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Live Cream Volume II&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Live Cream Volume II&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
"Cream Royal Albert Hall London May 2-3-5-6, 2005",,,,,"https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Royal Albert Hall London May 2-3-5-6, 2005&LH_Sold=1&LH_Complete=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Royal Albert Hall London May 2-3-5-6, 2005&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Royal Albert Hall London May 2-3-5-6, 2005&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200"
Cream Wheels of Fire,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Wheels of Fire&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Wheels of Fire&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Cream Wheels of Fire&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Crime and Punishment,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Crime and Punishment&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Crime and Punishment&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Crime and Punishment&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
